MOVIE,DIRECTOR,ACTOR,GENRE
All Is Lost,J.C. Chandor, Star:Robert Redford,"Action, Adventure, Drama"
The Hitman's Bodyguard,Patrick Hughes,"Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung","Action, Comedy, Crime"
Pacific Rim,Guillermo del Toro,"Idris Elba, Charlie Hunnam, Rinko Kikuchi, Charlie Day","Action, Adventure, Sci-Fi"
Get the Gringo,Adrian Grunberg,"Mel Gibson, Kevin Balmore, Daniel Giménez Cacho, Jesús Ochoa","Action, Drama, Thriller"
In the Heart of the Sea,Ron Howard,"Chris Hemsworth, Cillian Murphy, Brendan Gleeson, Ben Whishaw","Action, Adventure, Biography"
Ghostbusters,Paul Feig,"Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones","Action, Comedy, Fantasy"
Iron Man 2,Jon Favreau,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle","Action, Adventure, Sci-Fi"
Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,"Jim Sturgess, Hugo Weaving, David Wenham, Emily Barclay","Animation, Action, Adventure"
The World's End,Edgar Wright,"Simon Pegg, Nick Frost, Martin Freeman, Rosamund Pike","Action, Comedy, Sci-Fi"
Jackass Forever,Jeff Tremaine,"Johnny Knoxville, Steve-O, Chris Pontius, Dave England","Action, Comedy, Reality-TV"
Free State of Jones,Gary Ross,"Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell","Action, Biography, Drama"
Traitor,Jeffrey Nachmanoff,"Don Cheadle, Guy Pearce, Archie Panjabi, Saïd Taghmaoui","Action, Crime, Drama"
The Amazing Spider-Man,Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan","Action, Adventure, Sci-Fi"
Pineapple Express,David Gordon Green,"Seth Rogen, James Franco, Gary Cole, Danny McBride","Action, Comedy, Crime"
Crank,"Mark Neveldine, Brian Taylor","Jason Statham, Amy Smart, Carlos Sanz, Jose Pablo Cantillo","Action, Crime, Thriller"
Alan Partridge: Alpha Papa,Declan Lowney,"Steve Coogan, Colm Meaney, Tim Key, Karl Theobald","Action, Comedy, Crime"
28 Weeks Later,Juan Carlos Fresnadillo,"Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau","Action, Adventure, Horror"
Captain America: The First Avenger,Joe Johnston,"Chris Evans, Hugo Weaving, Samuel L. Jackson, Hayley Atwell","Action, Adventure, Sci-Fi"
The Guardian,Andrew Davis,"Kevin Costner, Ashton Kutcher, Sela Ward, Melissa Sagemiller","Action, Adventure, Drama"
San ging chaat goo si,Benny Chan,"Jackie Chan, Nicholas Tse, Charlie Yeung, Daniel Wu","Action, Crime, Thriller"
Jurassic World,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer","Action, Adventure, Sci-Fi"
National Treasure,Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean","Action, Adventure, Mystery"
Mission: Impossible III,J.J. Abrams,"Tom Cruise, Michelle Monaghan, Ving Rhames, Philip Seymour Hoffman","Action, Adventure, Thriller"
The Last Castle,Rod Lurie,"Robert Redford, James Gandolfini, Mark Ruffalo, Steve Burton","Action, Drama, Thriller"
Atlantis: The Lost Empire,"Gary Trousdale, Kirk Wise","Michael J. Fox, Jim Varney, Corey Burton, Claudia Christian","Animation, Action, Adventure"
A Knight's Tale,Brian Helgeland,"Heath Ledger, Mark Addy, Rufus Sewell, Shannyn Sossamon","Action, Adventure, Romance"
The Edge,Lee Tamahori,"Anthony Hopkins, Alec Baldwin, Elle Macpherson, Harold Perrineau","Action, Adventure, Drama"
Con Air,Simon West,"Nicolas Cage, John Cusack, John Malkovich, Colm Meaney","Action, Crime, Thriller"
The Mask,Chuck Russell,"Jim Carrey, Cameron Diaz, Peter Riegert, Peter Greene","Action, Comedy, Crime"
Clear and Present Danger,Phillip Noyce,"Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida","Action, Crime, Drama"
Robin Hood: Prince of Thieves,Kevin Reynolds,"Kevin Costner, Morgan Freeman, Mary Elizabeth Mastrantonio, Christian Slater","Action, Adventure, Drama"
