MOVIE,DIRECTOR,ACTOR,GENRE
In the Shadow of the Moon,Jim Mickle,"Boyd Holbrook, Cleopatra Coleman, Bokeem Woodbine, Michael C. Hall","Action, Crime, Mystery"
Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Woody Harrelson, Miku Patricia Martineau, Tadanobu Asano","Action, Adventure, Crime"
Stuber,Michael Dowse,"Dave Bautista, Kumail Nanjiani, Mira Sorvino, Natalie Morales","Action, Comedy, Crime"
The Silencing,Robin Pront,"Nikolaj Coster-Waldau, Caleb Ellsworth-Clark, Josh Cruddas, Annabelle Wallis","Action, Crime, Mystery"
Destroyer,Karyn Kusama,"Nicole Kidman, Toby Kebbell, Tatiana Maslany, Sebastian Stan","Action, Crime, Drama"
Johnny English Strikes Again,David Kerr,"Rowan Atkinson, Ben Miller, Olga Kurylenko, Emma Thompson","Action, Adventure, Comedy"
Terminator: Dark Fate,Tim Miller,"Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Natalia Reyes","Action, Adventure, Sci-Fi"
Copshop,Joe Carnahan,"Gerard Butler, Frank Grillo, Alexis Louder, Toby Huss","Action, Thriller"
Cold Pursuit,Hans Petter Moland,"Liam Neeson, Laura Dern, Micheál Richardson, Michael Eklund","Action, Comedy, Crime"
Time Trap,"Mark Dennis, Ben Foster","Reiley McClendon, Cassidy Gifford, Brianne Howey, Olivia Draguicevich","Action, Adventure, Mystery"
Maze Runner: The Death Cure,Wes Ball,"Dylan O'Brien, Ki Hong Lee, Kaya Scodelario, Thomas Brodie-Sangster","Action, Adventure, Sci-Fi"
The Wall,Doug Liman,"Aaron Taylor-Johnson, John Cena, Laith Nakli","Action, Drama, Thriller"
Keanu,Peter Atencio,"Keegan-Michael Key, Jordan Peele, Tiffany Haddish, Method Man","Action, Comedy, Crime"
Grimsby,Louis Leterrier,"Sacha Baron Cohen, Mark Strong, Rebel Wilson, Freddie Crowder","Action, Adventure, Comedy"
Inferno,Ron Howard,"Tom Hanks, Felicity Jones, Irrfan Khan, Ben Foster","Action, Adventure, Crime"
Insurgent,Robert Schwentke,"Shailene Woodley, Ansel Elgort, Theo James, Kate Winslet","Action, Adventure, Sci-Fi"
The November Man,Roger Donaldson,"Pierce Brosnan, Luke Bracey, Olga Kurylenko, Bill Smitrovich","Action, Thriller"
Deliver Us from Evil,Scott Derrickson,"Eric Bana, Edgar Ramírez, Olivia Munn, Chris Coy","Action, Adventure, Crime"
Transcendence,Wally Pfister,"Johnny Depp, Rebecca Hall, Morgan Freeman, Cillian Murphy","Action, Drama, Sci-Fi"
3 Days to Kill,McG,"Kevin Costner, Hailee Steinfeld, Connie Nielsen, Amber Heard","Action, Drama, Thriller"
Captain Underpants: The First Epic Movie,David Soren,"Kevin Hart, Thomas Middleditch, Ed Helms, Nick Kroll","Animation, Action, Adventure"
The Outsider,Martin Zandvliet,"Jared Leto, Tadanobu Asano, Kippei Shîna, Shioli Kutsuna","Action, Crime, Drama"
American Assassin,Michael Cuesta,"Dylan O'Brien, Michael Keaton, Sanaa Lathan, Taylor Kitsch","Action, Thriller"
Parker,Taylor Hackford,"Jason Statham, Jennifer Lopez, Michael Chiklis, Nick Nolte","Action, Crime, Thriller"
Hummingbird,Steven Knight,"Jason Statham, Agata Buzek, Vicky McClure, Benedict Wong","Action, Crime, Drama"
Dabangg,Abhinav Kashyap,"Salman Khan, Sonakshi Sinha, Sonu Sood, Arbaaz Khan","Action, Comedy, Crime"
A Lonely Place to Die,Julian Gilbey,"Alec Newman, Ed Speleers, Melissa George, Kate Magowan","Action, Adventure, Crime"
Transformers: Dark of the Moon,Michael Bay,"Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel","Action, Adventure, Sci-Fi"
Taken 2,Olivier Megaton,"Liam Neeson, Famke Janssen, Maggie Grace, Leland Orser","Action, Crime, Thriller"
Total Recall,Len Wiseman,"Colin Farrell, Bokeem Woodbine, Bryan Cranston, Kate Beckinsale","Action, Adventure, Sci-Fi"
47 Ronin,Carl Rinsch,"Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki, Tadanobu Asano","Action, Drama, Fantasy"
The Boondock Saints II: All Saints Day,Troy Duffy,"Sean Patrick Flanery, Norman Reedus, Billy Connolly, Clifton Collins Jr.","Action, Thriller"
300: Rise of an Empire,Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson","Action, Drama"
RoboCop,José Padilha,"Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish","Action, Crime, Sci-Fi"
Jack Ryan: Shadow Recruit,Kenneth Branagh,"Chris Pine, Kevin Costner, Keira Knightley, Kenneth Branagh","Action, Drama, Thriller"
The Karate Kid,Harald Zwart,"Jackie Chan, Jaden Smith, Taraji P. Henson, Wenwen Han","Action, Drama, Family"
Takers,John Luessenhop,"Chris Brown, Hayden Christensen, Matt Dillon, Michael Ealy","Action, Crime, Drama"
The Eagle,Kevin Macdonald,"Channing Tatum, Jamie Bell, Donald Sutherland, István Göz","Action, Adventure, Drama"
The Warrior's Way,Sngmoo Lee,"Jang Dong-Gun, Kate Bosworth, Geoffrey Rush, Danny Huston","Action, Fantasy, Western"
The Legend of Tarzan,David Yates,"Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz","Action, Adventure, Drama"
Dracula Untold,Gary Shore,"Luke Evans, Dominic Cooper, Sarah Gadon, Art Parkinson","Action, Drama, Fantasy"
Ong Bak 2,"Tony Jaa, Panna Rittikrai","Tony Jaa, Sarunyu Wongkrachang, Sorapong Chatree, Primrata Dej-Udom",Action
War,Philip G. Atwell,"Jet Li, Jason Statham, Nadine Velazquez, John Lone","Action, Crime, Thriller"
Rogue,Greg McLean,"Michael Vartan, Radha Mitchell, Sam Worthington, Caroline Brazier","Action, Drama, Horror"
Tower Heist,Brett Ratner,"Eddie Murphy, Ben Stiller, Casey Affleck, Alan Alda","Action, Comedy, Crime"
Hitman,Xavier Gens,"Timothy Olyphant, Dougray Scott, Olga Kurylenko, Robert Knepper","Action, Crime, Thriller"
Outlander,Howard McCain,"Jim Caviezel, Sophia Myles, Ron Perlman, Jack Huston","Action, Adventure, Sci-Fi"
TMNT,Kevin Munroe,"Patrick Stewart, Mako, Chris Evans, Sarah Michelle Gellar","Animation, Action, Adventure"
Knowing,Alex Proyas,"Nicolas Cage, Chandler Canterbury, Rose Byrne, Lara Robinson","Action, Mystery, Sci-Fi"
Next,Lee Tamahori,"Nicolas Cage, Julianne Moore, Jessica Biel, Thomas Kretschmann","Action, Sci-Fi, Thriller"
Resident Evil: Extinction,Russell Mulcahy,"Milla Jovovich, Ali Larter, Oded Fehr, Iain Glen","Action, Horror, Sci-Fi"
Feast,John Gulager,"Navi Rawat, Krista Allen, Balthazar Getty, Judah Friedlander","Action, Comedy, Horror"
Zathura: A Space Adventure,Jon Favreau,"Josh Hutcherson, Jonah Bobo, Dax Shepard, Tim Robbins","Action, Adventure, Comedy"
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,"Harrison Ford, Cate Blanchett, Shia LaBeouf, Karen Allen","Action, Adventure"
After the Sunset,Brett Ratner,"Pierce Brosnan, Salma Hayek, Woody Harrelson, Don Cheadle","Action, Comedy, Crime"
Walking Tall,Kevin Bray,"Dwayne Johnson, Ashley Scott, Johnny Knoxville, Michael Bowen","Action, Crime"
Shanghai Knights,David Dobkin,"Jackie Chan, Owen Wilson, Fann Wong, Aaron Taylor-Johnson","Action, Adventure, Comedy"
Austin Powers in Goldmember,Jay Roach,"Mike Myers, Beyoncé, Seth Green, Michael York","Action, Adventure, Comedy"
Rush Hour 3,Brett Ratner,"Jackie Chan, Chris Tucker, Max von Sydow, Hiroyuki Sanada","Action, Comedy, Crime"
Johnny English,Peter Howitt,"Rowan Atkinson, John Malkovich, Natalie Imbruglia, Tasha de Vasconcelos","Action, Adventure, Comedy"
Reign of Fire,Rob Bowman,"Matthew McConaughey, Christian Bale, Izabella Scorupco, Gerard Butler","Action, Adventure, Fantasy"
Kung Pow: Enter the Fist,Steve Oedekerk,"Steve Oedekerk, Fei Lung, Leo Lee, Ling-Ling Hsieh","Action, Comedy"
Pearl Harbor,Michael Bay,"Ben Affleck, Kate Beckinsale, Josh Hartnett, William Lee Scott","Action, Drama, History"
Gekijô-ban poketto monsutâ - Myûtsû no gyakushû,"Kunihiko Yuyama, Michael Haigney","Veronica Taylor, Rachael Lillis, Eric Stuart, Rica Matsumoto","Animation, Action, Adventure"
Small Soldiers,Joe Dante,"Kirsten Dunst, Gregory Smith, David Cross, Jay Mohr","Action, Adventure, Comedy"
Deep Impact,Mimi Leder,"Robert Duvall, Téa Leoni, Elijah Wood, Morgan Freeman","Action, Drama, Sci-Fi"
The Saint,Phillip Noyce,"Val Kilmer, Elisabeth Shue, Rade Serbedzija, Valeriy Nikolaev","Action, Adventure, Romance"
Money Talks,Brett Ratner,"Charlie Sheen, Chris Tucker, Heather Locklear, Elise Neal","Action, Comedy, Crime"
The Devil's Own,Alan J. Pakula,"Harrison Ford, Brad Pitt, Margaret Colin, Rubén Blades","Action, Crime, Drama"
Alien Resurrection,Jean-Pierre Jeunet,"Sigourney Weaver, Winona Ryder, Dominique Pinon, Ron Perlman","Action, Horror, Sci-Fi"
Yat goh ho yan,Sammo Kam-Bo Hung,"Jackie Chan, Richard Norton, Miki Lee, Karen McLymont","Action, Adventure, Comedy"
Eraser,Chuck Russell,"Arnold Schwarzenegger, Vanessa Williams, James Caan, James Coburn","Action, Crime, Thriller"
Waterworld,Kevin Reynolds,"Kevin Costner, Jeanne Tripplehorn, Dennis Hopper, Tina Majorino","Action, Adventure, Sci-Fi"
Blown Away,Stephen Hopkins,"Jeff Bridges, Tommy Lee Jones, Suzy Amis, Lloyd Bridges","Action, Crime, Drama"
Rising Sun,Philip Kaufman,"Sean Connery, Wesley Snipes, Harvey Keitel, Cary-Hiroyuki Tagawa","Action, Crime, Drama"
Loaded Weapon 1,Gene Quintano,"Emilio Estevez, Samuel L. Jackson, Jon Lovitz, Tim Curry","Action, Comedy, Crime"
Hard Target,John Woo,"Jean-Claude Van Damme, Lance Henriksen, Yancy Butler, Chuck Pfarrer","Action, Crime, Thriller"
Lionheart,Sheldon Lettich,"Jean-Claude Van Damme, Harrison Page, Deborah Rennard, Lisa Pelikan","Action, Crime, Drama"
Kindergarten Cop,Ivan Reitman,"Arnold Schwarzenegger, Penelope Ann Miller, Pamela Reed, Linda Hunt","Action, Comedy, Crime"
Dick Tracy,Warren Beatty,"Warren Beatty, Madonna, Al Pacino, Charlie Korsmo","Action, Comedy, Crime"
The Dead Pool,Buddy Van Horn,"Clint Eastwood, Liam Neeson, Patricia Clarkson, Evan C. Kim","Action, Crime, Mystery"
The Toxic Avenger,"Michael Herz, Lloyd Kaufman","Andree Maranda, Mitch Cohen, Jennifer Babtist, Cindy Manion","Action, Comedy, Horror"
Mad Max Beyond Thunderdome,"George Miller, George Ogilvie","Mel Gibson, Tina Turner, Bruce Spence, Adam Cockburn","Action, Adventure, Sci-Fi"
The Cannonball Run,Hal Needham,"Burt Reynolds, Roger Moore, Farrah Fawcett, Dom DeLuise","Action, Comedy, Sport"
Moonraker,Lewis Gilbert,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel","Action, Adventure, Sci-Fi"
Death Race 2000,Paul Bartel,"David Carradine, Sylvester Stallone, Simone Griffeth, Mary Woronov","Action, Comedy, Sci-Fi"
Sooryavanshi,Rohit Shetty,"Akshay Kumar, Katrina Kaif, Ajay Devgn, Ranveer Singh","Action, Crime, Thriller"
The Lovebirds,Michael Showalter,"Issa Rae, Kumail Nanjiani, Paul Sparks, Anna Camp","Action, Comedy, Crime"
Hitman's Wife's Bodyguard,Patrick Hughes,"Ryan Reynolds, Samuel L. Jackson, Salma Hayek, Antonio Banderas","Action, Comedy, Crime"
Crawl,Alexandre Aja,"Kaya Scodelario, Barry Pepper, Morfydd Clark, Ross Anderson","Action, Adventure, Horror"
6 Underground,Michael Bay,"Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy","Action, Thriller"
Tomiris,Akan Satayev,"Ghassan Massoud, Almira Tursyn, Aizhan Lighg, Eduardo Minett","Action, Drama, History"
Dora and the Lost City of Gold,James Bobin,"Isabela Merced, Eugenio Derbez, Michael Peña, Eva Longoria","Action, Adventure, Comedy"
Blood Red Sky,Peter Thorwarth,"Peri Baumeister, Carl Anton Koch, Alexander Scheer, Kais Setti","Action, Adventure, Drama"
Code 8,Jeff Chan,"Kari Matchett, Robbie Amell, Penny Eizenga, Lawrence Bayne","Action, Crime, Drama"
The Protégé,Martin Campbell,"Michael Keaton, Maggie Q, Samuel L. Jackson, David Rintoul","Action, Thriller"
Hotel Artemis,Drew Pearce,"Jodie Foster, Sofia Boutella, Dave Bautista, Sterling K. Brown","Action, Crime, Drama"
The Girl in the Spider's Web,Fede Alvarez,"Claire Foy, Beau Gadsdon, Sverrir Gudnason, LaKeith Stanfield","Action, Crime, Drama"
Ambulance,Michael Bay,"Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González, Garret Dillahunt","Action, Crime, Drama"
Jurassic World: Fallen Kingdom,J.A. Bayona,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith","Action, Adventure, Sci-Fi"
Mile 22,Peter Berg,"Mark Wahlberg, Lauren Cohan, Iko Uwais, John Malkovich","Action, Thriller"
Gringo,Nash Edgerton,"Joel Edgerton, Charlize Theron, David Oyelowo, Thandiwe Newton","Action, Comedy, Crime"
Jack Reacher: Never Go Back,Edward Zwick,"Tom Cruise, Cobie Smulders, Aldis Hodge, Robert Knepper","Action, Crime, Drama"
American Ultra,Nima Nourizadeh,"Jesse Eisenberg, Kristen Stewart, Connie Britton, John Leguizamo","Action, Comedy"
Heist,Scott Mann,"Robert De Niro, Jeffrey Dean Morgan, Dave Bautista, Kate Bosworth","Action, Crime, Drama"
Last Knights,Kazuaki Kiriya,"Clive Owen, Morgan Freeman, Aksel Hennie, Payman Maadi","Action, Drama, History"
The Huntsman: Winter's War,Cedric Nicolas-Troyan,"Chris Hemsworth, Jessica Chastain, Charlize Theron, Emily Blunt","Action, Adventure, Drama"
The Expendables 3,Patrick Hughes,"Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas","Action, Adventure, Thriller"
Rampage,Brad Peyton,"Dwayne Johnson, Naomie Harris, Malin Akerman, Jeffrey Dean Morgan","Action, Adventure, Sci-Fi"
San Andreas,Brad Peyton,"Dwayne Johnson, Carla Gugino, Alexandra Daddario, Colton Haynes","Action, Adventure, Thriller"
Hit and Run,"David Palmer, Dax Shepard","Dax Shepard, Kristen Bell, Bradley Cooper, Kristin Chenoweth","Action, Adventure, Comedy"
The Collection,Marcus Dunstan,"Josh Stewart, Emma Fitzpatrick, Christopher McDonald, Randall Archer","Action, Adventure, Horror"
Snow White and the Huntsman,Rupert Sanders,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin","Action, Adventure, Drama"
Welcome to the Punch,Eran Creevy,"James McAvoy, Mark Strong, Andrea Riseborough, Peter Mullan","Action, Crime, Thriller"
Hobo with a Shotgun,Jason Eisener,"Rutger Hauer, Pasha Ebrahimi, Robb Wells, Brian Downey","Action, Comedy, Horror"
30 Minutes or Less,Ruben Fleischer,"Jesse Eisenberg, Danny McBride, Nick Swardson, Aziz Ansari","Action, Comedy, Crime"
Mortal Engines,Christian Rivers,"Hera Hilmar, Robert Sheehan, Hugo Weaving, Jihae","Action, Adventure, Fantasy"
I Am Number Four,D.J. Caruso,"Alex Pettyfer, Timothy Olyphant, Dianna Agron, Teresa Palmer","Action, Adventure, Sci-Fi"
"Tomorrow, When the War Began",Stuart Beattie,"Caitlin Stasey, Rachel Hurd-Wood, Lincoln Lewis, Deniz Akdeniz","Action, Adventure, Drama"
Hansel & Gretel: Witch Hunters,Tommy Wirkola,"Jeremy Renner, Gemma Arterton, Peter Stormare, Famke Janssen","Action, Fantasy, Horror"
Ride Along,Tim Story,"Ice Cube, Kevin Hart, Tika Sumpter, John Leguizamo","Action, Comedy, Crime"
The Lost City,"Aaron Nee, Adam Nee","Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da'Vine Joy Randolph","Action, Adventure, Comedy"
Day Shift,J.J. Perry,"Jamie Foxx, Dave Franco, Natasha Liu Bordizzo, Meagan Good","Action, Comedy, Fantasy"
Blitz,Elliott Lester,"Jason Statham, Paddy Considine, Aidan Gillen, Zawe Ashton","Action, Crime, Thriller"
Broken City,Allen Hughes,"Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones, Jeffrey Wright","Action, Crime, Drama"
Ironclad,Jonathan English,"Paul Giamatti, Jason Flemyng, Brian Cox, James Purefoy","Action, Drama, History"
Seeking Justice,Roger Donaldson,"Nicolas Cage, January Jones, Guy Pearce, Harold Perrineau","Action, Crime, Drama"
Rambo: Last Blood,Adrian Grunberg,"Sylvester Stallone, Paz Vega, Sergio Peris-Mencheta, Adriana Barraza","Action, Crime, Thriller"
Crank: High Voltage,"Mark Neveldine, Brian Taylor","Jason Statham, Amy Smart, Clifton Collins Jr., Dwight Yoakam","Action, Crime, Thriller"
Justice League,Zack Snyder,"Ben Affleck, Gal Gadot, Jason Momoa, Ezra Miller","Action, Adventure, Fantasy"
Solomon Kane,M.J. Bassett,"James Purefoy, Max von Sydow, Rachel Hurd-Wood, Pete Postlethwaite","Action, Adventure, Fantasy"
The Sorcerer's Apprentice,Jon Turteltaub,"Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer","Action, Adventure, Family"
Red State,Kevin Smith,"Michael Parks, Melissa Leo, John Goodman, Michael Angarano","Action, Crime, Horror"
Big Stan,Rob Schneider,"Rob Schneider, David Carradine, Sally Kirkland, Jennifer Morrison","Action, Comedy"
Jumper,Doug Liman,"Hayden Christensen, Samuel L. Jackson, Jamie Bell, Rachel Bilson","Action, Adventure, Sci-Fi"
Push,Paul McGuigan,"Camilla Belle, Dakota Fanning, Chris Evans, Colin Ford","Action, Sci-Fi, Thriller"
The Sentinel,Clark Johnson,"Michael Douglas, Kiefer Sutherland, Kim Basinger, Eva Longoria","Action, Crime, Thriller"
Flight of the Phoenix,John Moore,"Dennis Quaid, Miranda Otto, Giovanni Ribisi, Tyrese Gibson","Action, Adventure, Drama"
Superman Returns,Bryan Singer,"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden","Action, Adventure, Sci-Fi"
Sky Captain and the World of Tomorrow,Kerry Conran,"Gwyneth Paltrow, Jude Law, Angelina Jolie, Giovanni Ribisi","Action, Adventure, Mystery"
Resident Evil: Apocalypse,Alexander Witt,"Milla Jovovich, Sienna Guillory, Eric Mabius, Oded Fehr","Action, Horror, Sci-Fi"
Mortal Kombat,Simon McQuoid,"Lewis Tan, Jessica McNamee, Josh Lawson, Joe Taslim","Action, Adventure, Fantasy"
Undisputed,Walter Hill,"Wesley Snipes, Ving Rhames, Peter Falk, Michael Rooker","Action, Crime, Drama"
Die Another Day,Lee Tamahori,"Pierce Brosnan, Halle Berry, Rosamund Pike, Toby Stephens","Action, Adventure, Thriller"
Windtalkers,John Woo,"Nicolas Cage, Adam Beach, Peter Stormare, Noah Emmerich","Action, Drama, War"
Antitrust,Peter Howitt,"Ryan Phillippe, Tim Robbins, Rachael Leigh Cook, Claire Forlani","Action, Crime, Drama"
15 Minutes,John Herzfeld,"Robert De Niro, Edward Burns, Kelsey Grammer, Avery Brooks","Action, Crime, Drama"
Romeo Must Die,Andrzej Bartkowiak,"Jet Li, Aaliyah, Isaiah Washington, Russell Wong","Action, Crime, Thriller"
Mystery Men,Kinka Usher,"Ben Stiller, Janeane Garofalo, William H. Macy, Hank Azaria","Action, Comedy, Fantasy"
Men in Black II,Barry Sonnenfeld,"Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle","Action, Adventure, Comedy"
Vampires,John Carpenter,"James Woods, Daniel Baldwin, Sheryl Lee, Thomas Ian Griffith","Action, Horror, Thriller"
Mission: Impossible II,John Woo,"Tom Cruise, Dougray Scott, Thandiwe Newton, Ving Rhames","Action, Adventure, Thriller"
Mercury Rising,Harold Becker,"Bruce Willis, Miko Hughes, Alec Baldwin, Chi McBride","Action, Crime, Drama"
Sphere,Barry Levinson,"Dustin Hoffman, Sharon Stone, Samuel L. Jackson, Peter Coyote","Action, Mystery, Sci-Fi"
The Replacement Killers,Antoine Fuqua,"Chow Yun-Fat, Mira Sorvino, Michael Rooker, Kenneth Tsang","Action, Crime, Thriller"
The Postman,Kevin Costner,"Kevin Costner, Will Patton, Larenz Tate, Olivia Williams","Action, Adventure, Drama"
Murder at 1600,Dwight H. Little,"Wesley Snipes, Diane Lane, Daniel Benzali, Dennis Miller","Action, Crime, Drama"
Deep Rising,Stephen Sommers,"Treat Williams, Famke Janssen, Anthony Heald, Kevin J. O'Connor","Action, Adventure, Horror"
Broken Arrow,John Woo,"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo","Action, Adventure, Thriller"
Point of No Return,John Badham,"Bridget Fonda, Gabriel Byrne, Dermot Mulroney, Miguel Ferrer","Action, Crime, Drama"
Universal Soldier,Roland Emmerich,"Jean-Claude Van Damme, Dolph Lundgren, Ally Walker, Ed O'Ross","Action, Sci-Fi"
Days of Thunder,Tony Scott,"Tom Cruise, Nicole Kidman, Robert Duvall, Randy Quaid","Action, Drama, Sport"
Red Heat,Walter Hill,"Arnold Schwarzenegger, Jim Belushi, Peter Boyle, Ed O'Ross","Action, Comedy, Crime"
The Karate Kid Part II,John G. Avildsen,"Pat Morita, Ralph Macchio, Pat E. Johnson, Bruce Malmuth","Action, Family, Sport"
Lifeforce,Tobe Hooper,"Steve Railsback, Mathilda May, Peter Firth, Frank Finlay","Action, Horror, Mystery"
The Jewel of the Nile,Lewis Teague,"Michael Douglas, Kathleen Turner, Danny DeVito, Spyros Fokas","Action, Adventure, Comedy"
Never Say Never Again,Irvin Kershner,"Sean Connery, Kim Basinger, Klaus Maria Brandauer, Max von Sydow","Action, Adventure, Thriller"
Krull,Peter Yates,"Ken Marshall, Lysette Anthony, Freddie Jones, Francesca Annis","Action, Adventure, Fantasy"
Conquest of the Planet of the Apes,J. Lee Thompson,"Roddy McDowall, Don Murray, Ricardo Montalban, Natalie Trundy","Action, Sci-Fi"
Gunpowder Milkshake,Navot Papushado,"Karen Gillan, Lena Headey, Carla Gugino, Michelle Yeoh","Action, Crime, Thriller"
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,Cathy Yan,"Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, Jurnee Smollett","Action, Adventure, Comedy"
Project Power,"Henry Joost, Ariel Schulman","Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro","Action, Crime, Sci-Fi"
The Spy Who Dumped Me,Susanna Fogel,"Justin Theroux, Blanka Györfi-Tóth, Vilma Szécsi, Mila Kunis","Action, Adventure, Comedy"
Don't Breathe 2,Rodo Sayagues,"Stephen Lang, Madelyn Grace, Brendan Sexton III, Adam Young","Action, Crime, Horror"
Captive State,Rupert Wyatt,"John Goodman, Ashton Sanders, Jonathan Majors, Vera Farmiga","Action, Horror, Sci-Fi"
The Promise,Terry George,"Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Giménez Cacho","Action, Adventure, Drama"
The Purge: Election Year,James DeMonaco,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria","Action, Horror, Sci-Fi"
Godzilla: King of the Monsters,Michael Dougherty,"Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Ken Watanabe","Action, Adventure, Fantasy"
Those Who Wish Me Dead,Taylor Sheridan,"Angelina Jolie, Nicholas Hoult, Finn Little, Jon Bernthal","Action, Drama, Thriller"
The Lego Ninjago Movie,"Charlie Bean, Paul Fisher, Bob Logan","Jackie Chan, Dave Franco, Fred Armisen, Kumail Nanjiani","Animation, Action, Adventure"
Taken 3,Olivier Megaton,"Liam Neeson, Forest Whitaker, Maggie Grace, Famke Janssen","Action, Crime, Thriller"
The Machine,Caradog W. James,"Toby Stephens, Caity Lotz, Denis Lawson, Sam Hazeldine","Action, Drama, Sci-Fi"
Chennai Express,Rohit Shetty,"Deepika Padukone, Shah Rukh Khan, Sathyaraj, Nikitin Dheer","Action, Comedy, Romance"
Man of Tai Chi,Keanu Reeves,"Tiger Hu Chen, Keanu Reeves, Karen Mok, Hai Yu","Action, Drama"
Autómata,Gabe Ibáñez,"Antonio Banderas, Birgitte Hjort Sørensen, Dylan McDermott, Melanie Griffith","Action, Drama, Sci-Fi"
Honest Thief,Mark Williams,"Liam Neeson, Kate Walsh, Jai Courtney, Jeffrey Donovan","Action, Thriller"
Erased,Philipp Stölzl,"Aaron Eckhart, Nick Alachiotis, Liana Liberato, Olga Kurylenko","Action, Thriller"
Murder Mystery,Kyle Newacheck,"Adam Sandler, Jennifer Aniston, Luke Evans, Terence Stamp","Action, Comedy, Crime"
Lockout,"James Mather, Steve Saint Leger","Guy Pearce, Maggie Grace, Peter Stormare, Vincent Regan","Action, Sci-Fi, Thriller"
Exodus: Gods and Kings,Ridley Scott,"Christian Bale, Joel Edgerton, Ben Kingsley, Sigourney Weaver","Action, Adventure, Drama"
Hercules,Brett Ratner,"Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes","Action, Adventure, Fantasy"
Immortals,Tarsem Singh,"Henry Cavill, Mickey Rourke, John Hurt, Stephen Dorff","Action, Drama, Fantasy"
The Tourist,Florian Henckel von Donnersmarck,"Johnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton","Action, Thriller"
Transporter 3,Olivier Megaton,"Jason Statham, Robert Knepper, Natalya Rudakova, François Berléand","Action, Adventure, Thriller"
Thick as Thieves,Mimi Leder,"Ivan Petrushinov, Victor Boichev, Nickolay Hadjiminev, Rade Serbedzija","Action, Crime, Thriller"
Lightyear,Angus MacLane,"Chris Evans, Keke Palmer, Peter Sohn, Taika Waititi","Animation, Action, Adventure"
Unhinged,Derrick Borte,"Russell Crowe, Caren Pistorius, Gabriel Bateman, Jimmi Simpson","Action, Thriller"
Sucker Punch,Zack Snyder,"Emily Browning, Vanessa Hudgens, Abbie Cornish, Jena Malone","Action, Adventure, Fantasy"
Valhalla Rising,Nicolas Winding Refn,"Mads Mikkelsen, Maarten Stevenson, Alexander Morton, Stewart Porter","Action, Adventure, Drama"
Speed Racer,"Lana Wachowski, Lilly Wachowski","Emile Hirsch, Matthew Fox, Christina Ricci, Nicholas Elia","Action, Adventure, Comedy"
Carriers,"David Pastor, Àlex Pastor","Chris Pine, Piper Perabo, Lou Taylor Pucci, Emily VanCamp","Action, Adventure, Drama"
CHIPS,Dax Shepard,"Michael Peña, Dax Shepard, Vincent D'Onofrio, Rosa Salazar","Action, Comedy, Crime"
The Tournament,Scott Mann,"Ving Rhames, Robert Carlyle, Kelly Hu, Ian Somerhalder","Action, Thriller"
The Fast and the Furious: Tokyo Drift,Justin Lin,"Lucas Black, Zachery Ty Bryan, Shad Moss, Damien Marzette","Action, Crime, Thriller"
The Condemned,Scott Wiper,"Steve Austin, Vinnie Jones, Nathan Jones, Robert Mammone","Action, Crime, Thriller"
Miami Vice,Michael Mann,"Colin Farrell, Jamie Foxx, Gong Li, Naomie Harris","Action, Adventure, Crime"
Cowboys & Aliens,Jon Favreau,"Daniel Craig, Harrison Ford, Olivia Wilde, Abigail Spencer","Action, Sci-Fi, Thriller"
Van Helsing,Stephen Sommers,"Hugh Jackman, Kate Beckinsale, Richard Roxburgh, Shuler Hensley","Action, Adventure, Fantasy"
Sahara,Breck Eisner,"Matthew McConaughey, Penélope Cruz, Steve Zahn, Mark Aspinall","Action, Adventure, Comedy"
